"zip","city","county","state","pop"
"90221","Compton","Los Angeles","CA",52322
"94601","Oakland","Alameda","CA",52299
"93003","Ventura","Ventura","CA",52272
"91605","North Hollywood","Los Angeles","CA",52210
"92656","Aliso Viejo","Orange","CA",52124
"92557","Moreno Valley","Riverside","CA",52089
"95616","Davis","Yolo","CA",52088
"95207","Stockton","San Joaquin","CA",51879
"95037","Morgan Hill","Santa Clara","CA",51652
"92024","Encinitas","San Diego","CA",51496
"92069","San Marcos","San Diego","CA",51447
"92084","Vista","San Diego","CA",51419
"92505","Riverside","Riverside","CA",51322
"92584","Menifee","Riverside","CA",51298
"95124","San Jose","Santa Clara","CA",51170
"93551","Palmdale","Los Angeles","CA",51085
"92128","San Diego","San Diego","CA",51066
"90703","Cerritos","Los Angeles","CA",50963
"93638","Madera","Madera","CA",50894
"92691","Mission Viejo","Orange","CA",50782
"90046","Los Angeles","Los Angeles","CA",50587
"92886","Yorba Linda","Orange","CA",50545
"92626","Costa Mesa","Orange","CA",50541
"94550","Livermore","Alameda","CA",50500
"92243","El Centro","Imperial","CA",50484
"90024","Los Angeles","Los Angeles","CA",50288
"91767","Pomona","Los Angeles","CA",50264
"95351","Modesto","Stanislaus","CA",50079
"93304","Bakersfield","Kern","CA",49976
"92064","Poway","San Diego","CA",49933
"92026","Escondido","San Diego","CA",49921
"94553","Martinez","Contra Costa","CA",49699
"94086","Sunnyvale","Santa Clara","CA",49630
"94014","Daly City","San Mateo","CA",49515
"90057","Los Angeles","Los Angeles","CA",49492
"90638","La Mirada","Los Angeles","CA",49383
"92028","Fallbrook","San Diego","CA",49380
"92111","San Diego","San Diego","CA",49369
"90630","Cypress","Orange","CA",49169
"91306","Winnetka","Los Angeles","CA",49158
"92078","San Marcos","San Diego","CA",49034
"92620","Irvine","Orange","CA",48952
"92544","Hemet","Riverside","CA",48923
"90047","Los Angeles","Los Angeles","CA",48883
"95148","San Jose","Santa Clara","CA",48854
"95240","Lodi","San Joaquin","CA",48838
"92127","San Diego","San Diego","CA",48721
"93611","Clovis","Fresno","CA",48473
"92122","San Diego","San Diego","CA",48438
"92109","San Diego","San Diego","CA",48417
"94577","San Leandro","Alameda","CA",48088
"94303","Palo Alto","San Mateo","CA",48039
"90025","Los Angeles","Los Angeles","CA",47967
"90065","Los Angeles","Los Angeles","CA",47887
"94116","San Francisco","San Francisco","CA",47823
"90032","Los Angeles","Los Angeles","CA",47627
"95336","Manteca","San Joaquin","CA",47612
"95136","San Jose","Santa Clara","CA",47599
"90033","Los Angeles","Los Angeles","CA",47583
"92692","Mission Viejo","Orange","CA",47576
"90247","Gardena","Los Angeles","CA",47531
"91352","Sun Valley","Los Angeles","CA",47438
"95060","Santa Cruz","Santa Cruz","CA",47367
"93720","Fresno","Fresno","CA",47270
"91765","Diamond Bar","Los Angeles","CA",47139
"91748","Rowland Heights","Los Angeles","CA",47084
"92879","Corona","Riverside","CA",46920
"92648","Huntington Beach","Orange","CA",46890
"90620","Buena Park","Orange","CA",46842
"90023","Los Angeles","Los Angeles","CA",46780
"95843","Antelope","Sacramento","CA",46709
"90016","Los Angeles","Los Angeles","CA",46581
"95008","Campbell","Santa Clara","CA",46513
"92705","Santa Ana","Orange","CA",46470
"94560","Newark","Alameda","CA",46276
"92040","Lakeside","San Diego","CA",46261
"92843","Garden Grove","Orange","CA",46036
"95610","Citrus Heights","Sacramento","CA",45995
"90059","Los Angeles","Los Angeles","CA",45952
"94566","Pleasanton","Alameda","CA",45910
"92058","Oceanside","San Diego","CA",45894
"92506","Riverside","Riverside","CA",45854
"92009","Carlsbad","San Diego","CA",45827
"93311","Bakersfield","Kern","CA",45763
"94551","Livermore","Alameda","CA",45753
"92410","San Bernardino","San Bernardino","CA",45641
"91320","Newbury Park","Ventura","CA",45520
"95403","Santa Rosa","Sonoma","CA",45355
"95822","Sacramento","Sacramento","CA",45323
"91367","Woodland Hills","Los Angeles","CA",45282
"91790","West Covina","Los Angeles","CA",45206
"92104","San Diego","San Diego","CA",45202
"92688","Rancho Santa Margarita","Orange","CA",45178
"93455","Santa Maria","Santa Barbara","CA",45116
"93010","Camarillo","Ventura","CA",45092
"92236","Coachella","Riverside","CA",45090
"91733","South El Monte","Los Angeles","CA",44968
